alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g	function	gene
0.023	0.015	0.008	0.004	0.001	0.025	-0.008	0.04	0.019	-0.023	0.04	-0.026	0.008	0.014	0.062	0.03	0.004	-0.019	-0.055	0.018	0.088	0.117	0.123	0.086	0.084	0.064	0.026	0.036	0.008	0.014	-0.026	-0.018	-0.015	0.009	0.04	0.032	0.032	0.04	0.039	0.049	0.043	-0.012	0.026	0.129	0.032	0.005	0.03	0.026	-0.17	-0.266	-0.281	-0.195	-0.054	0.071	-0.035	0.152	-0.379	-0.41	0.001	-0.175	-0.281	-0.218	-0.133	-0.098	0.066	-0.009	-0.072	-0.108	0.036	0.004	-0.019	-0.095	0.085	0.041	0.048	0.005	0.014	-0.148	-0.29	Ribo	YNL302C
0.082	0.02	0.031	0.02	0.05	0.009	0.057	0.049	0.072	0.066	0.05	0.039	0.057	0.068	0.078	0.054	0.096	0.052	-0.057	0.019	0.069	0.178	0.134	0.12	0.139	0.127	0.092	0.073	0.035	0.06	0.009	0.042	-0.084	-0.059	-0.011	0.009	0.06	0.081	0.066	0.049	0.029	0.026	0.045	0.018	0.015	0.004	-0.005	-0.013	-0.176	-0.238	-0.26	-0.185	-0.078	0.067	-0.059	0.066	-0.275	-0.386	0.038	-0.157	-0.283	-0.252	-0.108	-0.093	0.073	-0.038	-0.054	-0.122	0.083	0.03	0.033	-0.13	0.014	0.019	0.055	-0.013	-0.029	-0.19	-0.26	Ribo	YGL123W
0.06	0.01	0.029	0.006	0.029	-0.004	0.029	0.025	0.057	0.056	0.052	0.021	0.057	0.045	0.067	0.036	0.108	0.043	0.001	0.069	0.05	0.144	0.168	0.111	0.111	0.07	0.07	0.032	0.095	0.035	0.014	0.017	-0.048	-0.024	0.021	0.029	0.063	0.042	0.06	0.041	0.008	0.006	0.032	0.046	0.02	?	0.032	-0.031	-0.23	-0.243	-0.288	-0.2	-0.132	0.001	-0.063	0.081	-0.346	-0.346	-0.014	-0.181	-0.237	-0.19	-0.106	-0.084	0.046	0.035	-0.104	-0.161	0.055	0.008	0.02	-0.104	0.029	0.027	0.008	-0.02	-0.042	-0.211	-0.297	Ribo	YGL103W
0.054	0.05	0.01	0.047	0.008	0.036	-0.011	0.057	0.055	-0.015	0.067	0.019	0.054	0.045	0.073	0.048	0.038	0.019	-0.034	0.005	0.103	0.124	0.104	0.117	0.104	0.079	0.024	0.068	0.05	0.009	-0.019	0.005	-0.043	-0.034	-0.013	0.008	-0.031	0.025	0.024	0.009	-0.008	-0.05	-0.034	0.039	-0.068	-0.038	-0.073	-0.004	-0.201	-0.244	-0.251	-0.171	-0.045	0.018	-0.018	0.209	-0.385	-0.417	0.031	-0.122	-0.311	-0.176	-0.096	-0.064	0.104	-0.096	-0.043	-0.106	0.047	0.014	-0.038	-0.102	0.026	0.05	0.089	0.013	-0.021	-0.162	-0.251	Ribo	YGL135W
0.05	0.017	0.052	0.019	0.042	0.001	0.039	0.014	0.037	0.032	0.022	-0.007	0.047	0.001	0.047	-0.012	0.069	0.015	-0.07	-0.042	0.014	0.09	0.096	0.113	0.017	0.056	0.026	0.049	0.046	0.015	-0.047	-0.029	-0.072	-0.054	-0.017	0.015	0.057	0.061	0.052	0.039	-0.004	-0.001	0.025	-0.088	-0.05	-0.054	-0.047	-0.027	-0.223	-0.223	-0.229	-0.174	-0.059	-0.025	-0.012	0.128	-0.329	-0.354	0.007	-0.121	-0.354	-0.249	-0.125	-0.115	0.1	-0.086	-0.072	-0.128	-0.007	0.022	-0.08	-0.139	0.005	-0.001	0.049	-0.045	-0.005	-0.199	-0.341	Ribo	YPL220W
-0.013	0.006	-0.021	0.021	-0.05	0.034	-0.029	0.028	0.031	0.055	0.041	0.009	0.03	0.017	0.048	0.045	0.035	0.032	-0.074	0.058	-0.004	0.062	0.092	0.114	0.101	0.098	0.056	0.065	0.062	0.023	0.025	0.026	-0.053	-0.006	-0.027	-0.039	-0.053	-0.029	-0.05	0.057	0.004	-0.039	0.008	0.026	-0.192	-0.053	-0.11	0.032	-0.197	-0.214	-0.274	-0.172	-0.09	0.001	-0.039	0.138	-0.372	-0.412	-0.001	-0.146	-0.257	-0.181	-0.101	-0.138	0.051	-0.018	-0.053	-0.12	-0.001	0.057	-0.131	-0.146	0.021	0.011	0.035	-0.034	-0.05	-0.176	-0.265	Ribo	YEL054C
0.049	0.01	0.001	-0.004	-0.023	0.005	0.01	0.029	0.026	0.011	0.01	-0.019	0.038	-0.023	0.029	-0.01	0.027	0.025	0.019	0.029	0.077	0.118	0.078	0.096	0.112	0.031	-0.019	0.014	0.034	-0.012	-0.061	-0.067	-0.085	0.015	0.033	0.053	0.045	0.053	0.027	0.055	0.056	-0.004	0.019	0.01	0.042	?	0.045	-0.001	-0.157	-0.238	-0.298	-0.213	-0.085	0.027	-0.082	?	-0.338	-0.435	?	-0.04	-0.307	-0.245	-0.18	-0.049	0.014	0.066	-0.104	-0.133	0.014	0.015	-0.025	-0.167	0.026	-0.031	0.019	-0.027	-0.016	-0.201	-0.273	Ribo	YOL127W
0.052	0.001	0.011	-0.013	-0.008	-0.024	0.028	0.019	0.052	0.021	0.031	0.02	0.039	0.028	0.057	0.027	0.061	0.02	-0.027	0.035	0.041	0.119	0.108	0.083	0.069	0.064	0.035	0.021	0.049	0.027	-0.013	-0.016	-0.051	0.005	0.043	0.028	0.072	0.083	0.088	0.065	0.056	0.028	0.076	0.073	0.067	0.056	0.071	-0.005	-0.149	-0.201	-0.213	-0.06	-0.089	0.053	0.009	0.109	-0.329	-0.408	-0.029	-0.232	-0.378	-0.225	-0.141	-0.108	0.053	0.028	-0.125	-0.196	0.025	0.001	-0.005	-0.157	0.055	0.061	0.083	0.011	-0.005	-0.145	-0.258	Ribo	YGL147C
0.008	-0.03	-0.05	-0.039	-0.016	-0.052	0.008	-0.035	0.001	0.004	-0.012	-0.029	0.038	-0.018	0.026	-0.001	0.02	-0.016	-0.159	-0.039	-0.018	0.048	0.044	0.04	-0.001	0.042	0.025	0.048	-0.009	-0.013	0.008	-0.004	-0.052	-0.039	-0.016	0.051	0.034	0.001	0.031	0.009	0.037	-0.03	0.014	-0.11	-0.064	0.018	-0.078	-0.001	-0.209	-0.221	-0.146	-0.073	-0.016	0.001	0.027	0.12	-0.415	-0.4	-0.024	-0.127	-0.261	-0.204	-0.093	-0.159	-0.001	-0.05	-0.09	-0.204	-0.047	-0.02	-0.146	-0.159	-0.008	-0.016	-0.008	-0.073	-0.073	-0.277	-0.313	Ribo	YDR064W
0.018	-0.01	-0.01	0.004	-0.016	0.008	-0.011	0.035	0.048	0.02	0.047	0.02	0.024	0.026	0.027	0.034	0.036	0.031	-0.048	0.034	0.091	0.139	0.093	0.107	0.09	0.079	0.032	0.028	0.062	-0.036	0.004	0.011	-0.032	-0.14	-0.025	0.038	-0.083	0.024	-0.022	0.082	0.118	-0.096	-0.043	0.091	-0.109	0.048	-0.122	0.001	-0.184	-0.237	-0.269	-0.137	-0.034	0.018	-0.03	0.215	-0.307	-0.43	-0.026	-0.237	-0.277	-0.179	-0.129	-0.079	0.027	0.047	-0.125	-0.096	0.001	-0.036	-0.05	-0.119	0.062	0.045	0.068	0.001	0.001	-0.122	-0.217	Ribo	YHR010W
-0.024	0.013	-0.026	0.008	-0.048	0.024	-0.04	0.033	0.025	0.051	0.03	-0.005	0.021	0.009	0.026	0.03	0.026	0.03	-0.094	0.044	0.04	0.075	0.119	0.104	0.095	0.092	0.051	0.05	0.094	0.011	-0.005	0.053	-0.04	0.015	0.028	0.028	-0.013	0.034	-0.013	0.033	0.099	-0.03	0.025	0.107	-0.055	-0.03	-0.016	0.032	-0.185	-0.256	-0.28	-0.17	-0.071	0.058	-0.02	0.161	-0.317	-0.42	0.011	-0.18	-0.243	-0.152	-0.118	-0.053	-0.012	-0.009	-0.256	-0.156	0.016	-0.009	-0.079	-0.128	0.021	0.021	0.028	0.015	-0.018	-0.161	-0.288	Ribo	YER117W
0.034	-0.035	-0.001	-0.016	0.019	0.034	0.034	0.001	0.008	-0.005	0.014	-0.012	0.021	-0.008	0.063	0.013	0.019	-0.007	0.018	-0.016	0.022	0.052	0.095	0.075	0.075	0.101	0.089	0.061	-0.001	0.05	-0.004	0.025	-0.057	-0.042	0.004	0.027	0.049	0.043	0.037	0.047	0.001	0.007	0.029	0.025	0.005	-0.016	-0.014	-0.007	-0.241	-0.21	-0.255	-0.138	-0.087	-0.066	-0.095	0.076	-0.426	-0.506	-0.02	-0.098	-0.241	-0.183	-0.087	-0.101	0.063	-0.095	-0.063	-0.11	0.03	-0.026	-0.068	-0.089	0.016	0.008	0.033	-0.029	-0.034	-0.198	-0.263	Ribo	YOR063W
0.001	-0.02	-0.008	0.015	-0.039	?	-0.046	0.011	0.078	?	0.074	0.001	0.021	0.004	0.042	0.078	0.024	0.035	-0.058	0.035	0.093	0.095	0.048	0.11	0.099	0.078	0.027	0.058	0.06	0.016	-0.001	0.005	-0.146	?	0.005	-0.102	-0.12	0.097	-0.012	0.02	-0.154	-0.106	-0.03	0.013	-0.099	-0.093	-0.063	0.028	-0.146	-0.192	-0.192	-0.146	-0.04	0.059	-0.019	0.153	-0.277	-0.312	-0.048	-0.22	-0.332	-0.227	-0.177	-0.197	0.039	0.099	-0.056	-0.138	-0.027	-0.027	-0.06	-0.234	0.038	0.015	0.039	-0.012	-0.051	-0.142	-0.277	Ribo	YDL075W
0.001	0.004	-0.05	0.006	-0.01	0.004	0.014	-0.05	?	0.025	?	-0.004	0.004	0.015	0.026	-0.006	0.035	?	-0.055	0.025	-0.037	0.084	0.104	0.102	0.088	0.132	0.08	0.081	0.043	0.043	0.032	0.051	-0.052	-0.025	-0.014	0.04	0.079	0.058	0.029	0.054	0.051	0.021	0.001	0.01	-0.05	-0.041	-0.041	0.026	-0.254	-0.276	-0.311	-0.116	-0.08	0.044	-0.017	0.171	?	-0.364	-0.004	-0.15	-0.331	-0.168	-0.105	0.061	0.08	-0.102	-0.07	-0.155	0.062	-0.01	-0.15	-0.182	0.036	-0.012	0.055	-0.023	-0.083	-0.247	-0.331	Ribo	YOL120C
0.005	-0.011	-0.063	-0.014	-0.022	-0.027	0.024	0.019	-0.016	-0.04	-0.032	-0.032	0.029	-0.029	0.017	-0.043	0.038	-0.027	-0.067	0.005	0.06	0.046	0.106	0.105	0.094	0.051	0.033	0.057	0.04	-0.029	-0.006	-0.014	-0.098	-0.089	-0.054	-0.04	0.019	0.041	0.017	-0.01	-0.043	-0.068	0.017	-0.098	-0.095	-0.089	-0.057	-0.043	-0.178	-0.276	-0.292	-0.182	-0.113	0.03	-0.216	0.081	-0.392	-0.392	0.016	-0.098	-0.194	-0.159	-0.067	-0.043	0.01	-0.071	-0.092	-0.182	0.038	0.022	-0.136	-0.136	0.032	0.024	0.03	-0.036	-0.005	-0.141	-0.284	Ribo	YCR031C
-0.005	-0.024	-0.032	-0.007	-0.017	-0.032	0.013	-0.011	-0.017	-0.008	-0.03	-0.051	-0.007	-0.058	0.013	-0.04	0.019	-0.012	-0.047	-0.038	0.061	0.057	0.089	0.085	0.11	0.117	0.091	0.072	0.051	0.046	0.027	0.05	-0.058	-0.045	-0.017	0.021	0.058	0.037	0.034	0.031	-0.024	-0.017	0.025	-0.115	-0.034	-0.045	-0.043	-0.03	-0.274	-0.274	-0.266	-0.2	-0.115	0.018	-0.032	0.13	-0.376	-0.348	0.025	-0.058	-0.218	-0.212	-0.043	-0.069	-0.007	-0.099	-0.102	-0.2	-0.09	-0.06	-0.161	-0.223	0.009	-0.004	0.012	?	?	-0.02	-0.274	Ribo	YOL039W
0.044	-0.004	-0.012	-0.013	0.039	-0.013	0.049	-0.026	0.033	0.042	0.008	0.033	0.033	0.005	0.026	0.031	0.018	0.018	0.042	-0.023	0.05	0.042	0.129	0.117	0.086	0.13	0.103	0.12	0.069	0.068	0.054	0.058	-0.104	-0.069	-0.012	0.039	0.075	0.054	0.033	0.021	-0.001	-0.032	0.03	-0.189	-0.019	-0.035	-0.051	-0.001	-0.224	-0.217	-0.298	-0.28	-0.189	0.031	-0.077	0.008	-0.352	-0.378	0.059	-0.049	-0.206	-0.111	-0.018	-0.015	0.044	-0.175	-0.032	-0.108	0.008	-0.028	-0.06	-0.17	0.014	0.018	0.036	0.015	0.001	-0.14	-0.28	Ribo	YDR012W
0.004	-0.066	-0.012	-0.04	0.052	-0.034	0.034	0.054	0.021	0.039	?	0.001	0.031	0.035	0.066	0.04	0.013	0.032	-0.058	-0.078	-0.043	-0.004	0.032	0.075	0.044	0.087	0.101	0.109	-0.008	0.078	0.008	0.008	-0.066	-0.073	-0.024	0.019	0.055	0.067	0.032	0.031	-0.031	?	0.039	0.02	-0.016	-0.034	-0.056	?	-0.22	-0.22	-0.312	-0.254	-0.183	-0.02	-0.063	-0.02	-0.355	-0.395	0.064	-0.054	-0.302	-0.093	-0.03	0.009	0.011	-0.183	-0.046	-0.126	0.052	-0.086	-0.134	-0.227	0.026	0.031	0.097	0.04	0.013	-0.109	-0.22	Ribo	YBR031W
0.02	-0.03	-0.032	-0.013	-0.008	-0.033	0.004	-0.024	0.001	-0.02	0.011	-0.019	0.016	-0.025	0.034	0.022	-0.015	-0.001	-0.022	0.004	-0.011	0.064	0.053	0.057	0.047	0.046	0.06	0.076	0.013	0.048	0.008	0.021	-0.083	-0.07	-0.035	0.009	0.046	0.025	-0.001	0.004	-0.024	-0.03	-0.003	-0.092	-0.056	-0.083	-0.092	0.001	-0.247	-0.226	-0.213	-0.134	-0.056	-0.02	-0.001	0.154	-0.381	-0.445	0.033	-0.004	-0.202	-0.157	-0.059	-0.11	0.08	-0.255	-0.007	-0.106	-0.013	0.032	-0.157	-0.219	0.023	0.035	0.053	-0.01	-0.047	-0.196	-0.301	Ribo	YLR340W
0.023	0.005	-0.01	0.053	-0.002	0.04	-0.037	0.081	0.092	-0.019	0.099	0.01	0.053	0.029	0.063	0.111	0.018	0.04	0.031	0.01	0.113	0.094	0.074	0.124	0.16	0.136	0.081	0.108	0.102	0.039	0.002	0.029	-0.073	-0.065	-0.01	0.031	0.053	0.06	0.052	0.113	-0.005	0.031	0.066	0.052	-0.015	-0.069	-0.011	-0.002	-0.166	-0.191	-0.197	-0.186	-0.123	0.04	-0.069	0.113	-0.323	-0.375	0.065	-0.069	-0.273	-0.22	-0.108	-0.136	0.11	-0.171	-0.015	-0.115	0.071	0.002	-0.176	-0.176	0.011	0.011	0.061	0.018	0.019	-0.052	-0.273	Ribo	YDL081C
0.004	0.037	-0.007	0.041	-0.022	0.03	-0.017	0.02	0.031	0.053	0.029	-0.015	0.019	0.012	0.057	0.048	0.047	0.032	0.02	0.071	0.03	0.093	0.12	0.185	0.201	0.153	0.102	0.115	0.127	0.062	0.06	0.072	-0.07	-0.031	-0.017	0.031	0.041	0.038	0.036	0.041	0.001	-0.005	0.02	0.048	-0.036	-0.045	-0.036	0.056	-0.263	-0.241	-0.298	-0.178	-0.092	0.017	-0.019	0.196	-0.365	-0.38	0.078	-0.04	-0.187	-0.155	-0.029	-0.007	0.037	-0.074	-0.05	-0.128	0.047	0.036	-0.092	-0.061	0.012	0.019	0.012	0.007	0.005	-0.074	-0.298	Ribo	YDR382W
-0.023	-0.077	-0.047	-0.07	-0.04	-0.065	-0.014	-0.032	-0.006	-0.062	-0.044	-0.075	0.028	-0.05	0.004	-0.04	0.028	-0.041	-0.209	-0.112	-0.055	0.021	0.004	-0.014	-0.059	-0.017	0.004	-0.021	-0.068	-0.044	-0.07	-0.088	-0.023	0.001	0.029	0.033	0.051	0.039	0.022	0.004	-0.008	-0.01	0.04	-0.116	-0.008	-0.021	0.006	-0.044	-0.216	-0.268	-0.247	-0.203	-0.112	0.046	-0.017	0.181	-0.293	-0.341	-0.028	-0.182	-0.173	-0.105	-0.102	-0.227	-0.019	-0.04	-0.105	-0.151	-0.019	0.041	-0.155	-0.093	-0.012	-0.023	-0.05	-0.098	-0.07	-0.216	-0.332	Ribo	YLR344W
0.012	-0.102	-0.02	-0.06	0.024	-0.102	-0.008	0.022	0.06	-0.024	0.09	0.032	0.014	?	0.078	0.132	-0.044	0.022	-0.194	-0.08	-0.028	0.016	0.058	-0.03	-0.006	0.032	0.002	-0.006	-0.076	-0.014	-0.036	-0.098	?	0.096	-0.018	0.03	0.02	0.022	0.046	0.028	0.014	?	0.038	0.14	0.024	-0.04	-0.2	0.042	-0.152	-0.212	-0.223	-0.168	-0.08	0.064	-0.018	0.186	-0.2	-0.285	0.002	-0.212	-0.285	-0.263	-0.206	-0.2	-0.008	0.06	-0.094	-0.178	-0.002	-0.028	-0.148	-0.218	0.108	-0.014	-0.02	-0.064	-0.064	-0.188	-0.172	Ribo	YBL092W
-0.06	-0.066	-0.128	-0.06	-0.14	-0.009	-0.066	-0.014	-0.036	0.025	-0.074	-0.068	-0.024	-0.071	-0.046	-0.071	-0.005	-0.032	-0.054	0.011	-0.043	-0.022	0.073	0.058	0.03	-0.006	-0.036	-0.022	0.041	-0.066	-0.098	-0.054	0.019	0.009	0.017	0.058	0.066	0.065	0.032	0.046	0.025	0.022	0.069	0.036	0.038	-0.024	0.06	-0.035	-0.136	-0.182	-0.246	-0.106	-0.027	-0.006	-0.057	0.079	-0.366	-0.366	-0.036	-0.344	-0.221	-0.186	-0.197	0.096	0.006	0.036	-0.12	-0.186	-0.112	-0.06	-0.112	-0.182	0.002	-0.009	-0.028	-0.046	-0.06	-0.177	-0.232	Ribo	YKL156W
0.001	-0.03	-0.048	-0.062	-0.048	-0.067	0.006	-0.057	-0.001	-0.043	-0.015	-0.057	0.009	-0.07	-0.004	-0.051	-0.033	-0.062	-0.14	-0.083	0.01	0.064	0.024	0.022	0.046	0.046	0.079	0.08	0.054	0.042	0.016	-0.021	-0.076	-0.1	-0.106	-0.076	-0.083	-0.089	-0.009	-0.006	-0.022	0.001	-0.025	0.027	0.059	0.036	0.034	0.021	-0.213	-0.181	-0.232	-0.149	-0.076	-0.004	-0.021	0.235	-0.408	-0.408	-0.025	-0.054	-0.181	-0.113	-0.03	-0.219	-0.004	-0.086	-0.137	-0.208	0.088	0.027	-0.009	-0.095	0.022	-0.013	0.036	0.01	0.006	-0.092	-0.335	Ribo	YDL130W
-0.023	-0.107	-0.05	-0.076	-0.025	-0.091	0.039	-0.101	-0.045	0.02	-0.057	-0.05	-0.017	-0.037	0.023	-0.039	0.002	-0.039	-0.221	-0.079	-0.054	-0.045	0.05	?	-0.015	0.027	-0.01	-0.007	-0.054	-0.07	-0.067	-0.042	-0.007	-0.025	-0.039	-0.012	0.017	-0.007	-0.007	-0.012	-0.034	-0.057	0.002	-0.082	-0.039	-0.05	-0.042	-0.158	-0.21	-0.268	-0.3	-0.178	-0.128	-0.079	-0.119	0.069	-0.216	-0.253	-0.228	-0.168	-0.228	-0.216	-0.086	-0.188	-0.037	-0.064	-0.136	-0.21	-0.072	-0.012	-0.168	-0.205	-0.057	-0.03	0.081	0.005	-0.025	-0.086	-0.221	Ribo	YHR021C
0.001	-0.014	-0.012	-0.023	0.01	0.011	0.011	0.025	-0.005	-0.001	0.026	-0.044	-0.01	-0.021	0.015	-0.001	0.053	-0.016	-0.049	0.001	0.016	0.036	0.082	0.019	0.036	0.026	0.001	-0.027	0.021	-0.031	-0.059	-0.067	-0.025	0.033	-0.012	-0.108	-0.115	-0.034	0.011	0.131	-0.111	-0.196	-0.064	0.123	-0.137	0.038	-0.388	0.001	-0.157	-0.201	-0.231	-0.157	-0.092	0.004	-0.031	0.105	-0.224	-0.176	-0.067	-0.186	-0.206	-0.196	-0.153	-0.059	0.026	0.067	-0.079	-0.118	-0.067	-0.101	-0.206	-0.308	0.019	-0.021	0.021	-0.031	-0.021	-0.201	-0.265	Ribo	YDL191W
-0.03	-0.114	-0.058	-0.069	-0.069	-0.069	-0.058	-0.049	-0.039	-0.058	-0.061	-0.069	-0.009	-0.054	-0.016	-0.054	-0.004	-0.027	-0.165	-0.076	-0.027	-0.069	0.024	-0.004	-0.061	-0.014	-0.009	-0.016	-0.057	-0.037	-0.043	-0.078	-0.051	0.043	?	0.016	-0.124	-0.019	-0.051	0.05	0.372	-0.147	-0.058	0.039	-0.131	?	-0.064	0.005	-0.151	-0.222	-0.222	-0.165	-0.069	0.001	-0.058	0.103	-0.211	-0.199	-0.004	-0.178	-0.16	-0.178	-0.155	-0.174	-0.034	0.072	-0.087	-0.169	-0.049	-0.03	0.035	-0.256	-0.009	-0.001	-0.005	-0.051	-0.03	-0.211	-0.346	Ribo	YDL136W
-0.009	-0.135	-0.047	-0.166	-0.014	-0.173	?	-0.089	0.065	-0.028	0.135	-0.098	-0.009	-0.145	0.15	-0.033	-0.014	-0.068	-0.173	-0.063	-0.07	0.128	0.016	-0.023	0.047	-0.04	-0.028	-0.023	-0.11	-0.07	-0.105	-0.11	-0.033	0.026	-0.014	-0.016	-0.173	-0.021	-0.014	0.035	-0.093	-0.189	-0.166	0.161	-0.15	-0.084	-0.1	-0.114	-0.161	-0.089	-0.105	0.002	-0.007	-0.1	0.065	-0.084	-0.189	-0.058	-0.1	-0.22	-0.301	-0.075	-0.22	0.026	-0.126	-0.002	-0.145	-0.208	0.016	-0.009	0.009	-0.145	0.026	-0.021	0.014	-0.033	-0.084	-0.201	-0.292	Ribo	YLR406C
-0.123	0.003	0.01	0.041	-0.109	-0.048	-0.034	-0.061	0.003	0.126	0.099	-0.01	-0.079	-0.174	0.01	0.061	-0.143	-0.024	0.003	0.137	0.096	?	-0.174	-0.048	0.003	0.109	0.048	0.024	-0.01	0.027	0.003	0.024	-0.143	-0.184	-0.154	-0.085	-0.079	-0.116	-0.024	-0.099	-0.075	-0.024	-0.034	-0.198	-0.02	?	0.01	-0.068	-0.154	-0.13	-0.116	0.133	-0.123	0.02	0.099	0.297	0.154	?	0.099	0.041	0.167	0.109	-0.048	0.003	-0.253	-0.154	-0.154	-0.058	0.167	0.099	0.29	0.249	0.055	?	?	-0.068	-0.075	0.014	-0.242	Proteas	YHR027C
0.013	0.008	0.076	0.038	0.036	0.049	0.074	0.044	0.053	0.027	0.011	0.028	0.038	0.013	0.028	0.013	0.053	0.044	0.233	0.08	-0.023	-0.072	-0.093	-0.085	-0.169	-0.102	-0.034	-0.042	-0.034	0.028	-0.013	-0.008	0.118	-0.008	-0.11	-0.017	-0.047	-0.038	-0.032	-0.076	-0.085	-0.042	0.023	-0.076	0.047	0.002	0.03	-0.034	-0.174	-0.127	-0.271	-0.311	-0.33	0.04	-0.131	-0.279	0.015	0.252	-0.032	0.227	0.034	-0.076	0.049	0.125	0.091	0.063	-0.017	-0.023	-0.002	0.112	0.239	0.133	-0.017	-0.089	-0.08	-0.097	-0.118	0.222	0.191	Proteas	YDL020C
0.019	-0.027	0.021	-0.04	0.027	-0.107	0.077	-0.091	0.008	-0.045	-0.019	-0.077	0.029	-0.096	-0.019	-0.096	-0.003	-0.101	0.12	0.061	0.061	-0.053	0.011	-0.024	-0.011	0.029	-0.549	0.088	0.021	0.069	0.029	0.003	-0.091	-0.045	0.083	0.091	0.112	0.243	0.176	0.171	-0.045	0.096	0.203	0.067	0.152	0.096	0.205	-0.08	0.011	0.027	0.048	0.053	-0.027	-0.024	0.027	-0.059	-0.08	-0.125	0.019	0.155	0.037	-0.059	0.099	-0.059	0.011	-0.165	-0.019	-0.045	0.048	0.064	0.016	-0.048	-0.053	-0.048	0.048	0.043	0.091	0.248	0.32	Resp	YDL067C
-0.067	0.138	0.148	0.051	-0.047	0.04	-0.098	-0.067	-0.013	0.024	-0.051	-0.013	-0.01	-0.152	-0.115	-0.051	-0.101	-0.061	0.223	0.037	0.121	0.145	0.04	0.121	0.054	0.101	0.051	0.067	0.101	0.034	0.061	0.071	-0.084	-0.057	-0.013	0.101	0.138	0.175	0.216	0.142	0.034	0.094	0.182	0.26	0.196	0.088	0.182	-0.051	?	-0.098	-0.03	-0.03	-0.074	0.01	0.003	-0.108	-0.084	-0.057	0.064	0.314	0.138	-0.101	-0.108	0.04	-0.142	-0.128	-0.172	-0.101	-0.108	0.185	0.003	0.142	-0.003	0.027	0.047	?	0.047	0.196	0.185	Resp	YGR183C
-0.088	-0.002	-0.008	-0.061	-0.103	-0.16	-0.08	-0.135	-0.063	-0.061	-0.057	-0.067	-0.048	-0.141	-0.021	-0.053	-0.135	-0.072	0.044	-0.063	-0.114	0.076	0.015	-0.008	-0.021	0.17	0.147	0.109	0.015	0.114	0.158	0.13	-0.13	-0.17	-0.042	-0.135	-0.107	-0.042	-0.061	0.158	0.025	-0.21	-0.099	0.147	-0.088	-0.095	-0.088	-0.042	-0.053	-0.076	-0.166	-0.177	-0.198	0.023	-0.17	-0.242	-0.149	-0.248	0.025	0.288	0.124	0.175	0.055	-0.006	-0.095	-0.16	-0.029	-0.021	0.015	0.055	0.107	-0.029	0.013	0.038	-0.013	0.008	0.029	0.124	0.172	Resp	YPR191W
-0.044	0.038	0.103	?	-0.023	-0.069	-0.052	-0.105	-0.101	-0.065	-0.059	-0.059	-0.049	-0.116	-0.065	-0.088	-0.137	-0.095	-0.033	-0.033	-0.025	-0.02	0.018	0.039	0.025	0.132	0.126	0.136	0.054	0.116	0.131	0.069	-0.11	-0.159	-0.041	0.116	0.157	0.134	0.144	-0.062	0.114	0.062	0.08	-0.016	0.114	0.105	0.119	-0.023	0.074	0.075	-0.02	-0.15	-0.098	0.054	-0.052	-0.234	0.025	-0.113	0.061	0.365	0.105	0.15	0.17	0.039	0.011	-0.113	-0.005	0.005	-0.069	0.061	0.101	-0.095	-0.002	0.031	0.075	0.051	0.147	0.335	0.332	Resp	YKL148C
-0.074	-0.05	0.035	0.022	-0.078	-0.031	-0.094	-0.043	-0.007	-0.111	?	-0.1	0.007	-0.087	-0.028	-0.05	-0.078	-0.07	0.122	0.011	0.105	0.076	-0.007	0.018	0.015	-0.006	0.011	0.02	0.035	0.044	0.028	-0.037	-0.017	-0.031	0.013	0.094	?	0.113	0.105	0.152	0.109	-0.018	0.074	0.233	0.076	0.054	0.115	-0.007	0.129	0.089	-0.017	-0.128	-0.07	0.028	-0.074	-0.191	-0.107	-0.17	-0.067	0.142	?	-0.15	-0.07	-0.191	-0.091	-0.067	-0.063	-0.018	-0.107	0.048	0.002	-0.226	0.033	0.006	0.07	0.159	0.152	0.403	0.472	Resp	YDR529C
